Trip.Miles	Fare	Date	Trip.Min	Trip.ID	Hour	Time
0.7	5.5	01/05(Thu.)	5.0	2598145daac3c7a8ed1b2035866dcd6d88cd5eff	12	Afternoon
0.2	13.25	01/04(Wed.)	17.0	5b33f84f917dab61685319bbf3bc182f1ec5d3c6	23	Evening
1.0	6.5	01/06(Fri.)	8.0	76fb55c2d5571b7b06b365aa8859359691c91bda	16	Afternoon
0.0	8.5	01/07(Sat.)	0.0	dacb6a76159fa52c6b67d3bac37e1378727336ce	20	Evening
17.18	45.0	01/04(Wed.)	50.9166666667	02edd2f2bce104a62fa0578fbafc9c0dcbcf8f1a	8	Morning
0.0	3.25	01/01(Sun.)	0.0	02db17a31d23531e122b927064b86fb836b65731	18	Evening
1.3	7.5	01/07(Sat.)	8.0	1de65735da3d578ff6e599bbe1b7478457d5d794	14	Afternoon
9.4	25.5	01/03(Tue.)	23.0	5c884b1881b0f8a711abd7007d2162960daf7f39	8	Morning
0.6	4.75	01/01(Sun.)	3.0	f966a275f578be415e649d7b5fb25f7ac6c2ea39	10	Morning
1.3	7.25	01/05(Thu.)	9.0	ae8436b3145dc966f36822a780bfcd13ac76185c	11	Morning
6.1	17.75	01/02(Mon.)	11.0	a049238c992f0322a047bd1a9c195a5ec5af889e	2	Night
2.5	9.75	01/03(Tue.)	10.0	3076f8d12fd657c08b91eb556852152d74c75d4a	8	Morning
1.39	6.75	01/05(Thu.)	6.45	66a90ba2c2b049f2e759abca91fae04f5eb003d5	15	Afternoon
0.1	9.0	01/01(Sun.)	9.0	5ac1c3094109f87e27af4a8da7c67b9eed0d754a	19	Evening
0.8	6.0	01/05(Thu.)	6.0	18663673abbc1d2125aebd2d3cdcf8a598f2bd81	9	Morning
0.8	6.0	01/06(Fri.)	6.0	5c9fa23e23066529954a32f08340f1c02e6d6d61	12	Afternoon
1.0	6.25	01/01(Sun.)	6.0	4fbe2acc0904ba6bab56335f21e23569ef35fe07	17	Afternoon
1.2	6.25	01/05(Thu.)	5.0	cf7b38d01fa0049ef4a655f9bfbee90c2ca870ec	23	Evening
10.1	29.0	01/07(Sat.)	33.0	fd77407fcb0588018153761599773b853e76ab2d	19	Evening
14.4	36.0	01/02(Mon.)	19.0	033189109a96a7f7d01334d72e2a81f954848d39	19	Evening
0.0	3.25	01/04(Wed.)	0.0	faa4f4f3bda9128030bc0a997528a07ec88da7c7	13	Afternoon
1.2	3.25	01/05(Thu.)	0.0	85294dacb96ad866de785af2d6a14209456736d2	7	Morning
1.1	6.25	01/04(Wed.)	6.0	4fc819270ee9be4ade78f364f85bf867615b09af	21	Evening
0.0	7.25	01/05(Thu.)	9.0	4c1c9528203bee53523a7c565695d2f044fc8d18	21	Evening
0.6	5.0	01/04(Wed.)	3.0	5d3d1a13e320459e04b313cc2fc1cc0297eb7a7c	21	Evening
2.2	10.0	01/04(Wed.)	13.0	711f3201cdd4d5c2e32238853102203658e88219	10	Morning
2.9	11.5	01/01(Sun.)	15.0	6c92d05738baa11e56e1a19e7222a353c95faa8c	1	Night
0.9	5.75	01/04(Wed.)	5.0	db8f1878124a39c60cb2fdf88a081e894f3b0f5b	18	Evening
